# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.019989213    0.019989234    0.019989221
    0.120240481    0.040066852    0.040066894    0.040066868
    0.180360721    0.060322426    0.060322490    0.060322451
    0.240480962    0.080847639    0.080847725    0.080847672
    0.300601202    0.101737552    0.101737661    0.101737594
    0.360721443    0.123091835    0.123091968    0.123091887
    0.420841683    0.145016132    0.145016288    0.145016193
    0.480961924    0.167623582    0.167623764    0.167623654
    0.541082164    0.191036552    0.191036761    0.191036635
    0.601202405    0.215388614    0.215388851    0.215388710
    0.661322645    0.240826859    0.240827126    0.240826969
    0.721442886    0.267514614    0.267514914    0.267514739
    0.781563126    0.295634678    0.295635012    0.295634819
    0.841683367    0.325393208    0.325393580    0.325393368
    0.901803607    0.357024433    0.357024845    0.357024614
    0.961923848    0.390796414    0.390796870    0.390796618
    1.022044088    0.427018156    0.427018662    0.427018387
    1.082164329    0.466048463    0.466049023    0.466048724
    1.142284569    0.508307056    0.508307676    0.508307352
    1.202404810    0.554288680    0.554289368    0.554289016
    1.262525050    0.604581175    0.604581938    0.604581557
    1.322645291    0.659888869    0.659889719    0.659889305
    1.382765531    0.721063222    0.721064169    0.721063721
    1.442885772    0.789143445    0.789144505    0.789144018
    1.503006012    0.865411084    0.865412274    0.865411746
    1.563126253    0.951464439    0.951465781    0.951465206
    1.623246493    1.049321659    1.049323179    1.049322555
    1.683366733    1.161566127    1.161567858    1.161567178
    1.743486974    1.291555526    1.291557511    1.291556770
    1.803607214    1.443729188    1.443731481    1.443730672
    1.863727455    1.624071203    1.624073875    1.624072991
    1.923847695    1.840828127    1.840831269    1.840830304
    1.983967936    2.105657541    2.105661282    2.105660228
    2.044088176    2.435535650    2.435540164    2.435539017
    2.104208417    2.856065682    2.856071218    2.856069981
    2.164328657    3.407515428    3.407522350    3.407521041
    2.224448898    4.156516048    4.156524913    4.156523586
    2.284569138    5.220357897    5.220369591    5.220368386
    2.344689379    6.821261242    6.821277255    6.821276525
    2.404809619    9.412684353    9.412707375    9.412707995
    2.464929860   13.917928271   13.917963574   13.917967443
    2.525050100   21.388901966   21.388960947   21.388968592
    2.585170341   30.640386433   30.640491963   30.640494079
    2.645290581   45.003007200   45.003181577   45.003175756
    2.705410822   62.130595352   62.130768300   62.130754059
    2.765531062   60.533384379   60.533518713   60.533428474
    2.825651303   46.664420102   46.664593225   46.664383361
    2.885771543   35.196633652   35.196666202   35.196601604
    2.945891784   25.560426099   25.560385235   25.560425645
    3.006012024   21.877344159   21.877317103   21.877371350
    3.066132265   23.217464358   23.217439858   23.217502579
    3.126252505   22.933790926   22.933763745   22.933780288
    3.186372745   19.940361004   19.940342179   19.940338915
    3.246492986   19.795149859   19.795129326   19.795129705
    3.306613226   21.662532652   21.662506961   21.662503446
    3.366733467   26.289791884   26.289790351   26.289769598
    3.426853707   37.457349515   37.457382157   37.457335592
    3.486973948   59.625532083   59.625613794   59.625509943
    3.547094188   90.863190862   90.863310999   90.863121658
    3.607214429  111.325907749  111.325944749  111.325834539
    3.667334669  116.062069171  116.062078726  116.061971527
    3.727454910  103.180219078  103.180103463  103.179971772
    3.787575150   77.603569855   77.603357168   77.603292189
    3.847695391   49.578301977   49.578121875   49.578104643
    3.907815631   31.627985963   31.627888592   31.627894217
    3.967935872   21.993989822   21.993942201   21.993949789
    4.028056112   17.015437143   17.015420615   17.015421611
    4.088176353   14.938947967   14.938952350   14.938949152
    4.148296593   13.022713105   13.022721463   13.022716023
    4.208416834   11.222182983   11.222191965   11.222186882
    4.268537074   11.231323248   11.231338401   11.231334143
    4.328657315   13.202614812   13.202632137   13.202629424
    4.388777555   15.373738380   15.373742903   15.373739800
    4.448897796   18.381121862   18.381149978   18.381135671
    4.509018036   20.966443743   20.966498857   20.966467072
    4.569138277   16.377457092   16.377498251   16.377467781
    4.629258517   10.883842137   10.883858318   10.883844358
    4.689378758    7.832453400    7.832457363    7.832455423
    4.749498998    6.086662917    6.086659245    6.086661532
    4.809619238    4.969660004    4.969654564    4.969657244
    4.869739479    4.142520142    4.142515821    4.142518917
    4.929859719    3.775071156    3.775065787    3.775070981
    4.989979960    3.904594902    3.904585790    3.904595728
    5.050100200    4.649804949    4.649787693    4.649806646
    5.110220441    5.521969271    5.521941691    5.521968256
    5.170340681    5.024157291    5.024133766    5.024154953
    5.230460922    4.355606526    4.355594898    4.355609533
    5.290581162    4.349208811    4.349213217    4.349222083
    5.350701403    5.261567510    5.261593289    5.261597159
    5.410821643    7.024400337    7.024438023    7.024435962
    5.470941884    8.273661739    8.273678595    8.273675845
    5.531062124    8.032511173    8.032509156    8.032515047
    5.591182365    6.153681846    6.153674017    6.153682203
    5.651302605    5.023150475    5.023139855    5.023148220
    5.711422846    5.146360332    5.146342942    5.146354874
    5.771543086    5.816421587    5.816396541    5.816413538
    5.831663327    5.983478881    5.983449832    5.983464161
    5.891783567    6.915586801    6.915545737    6.915555867
    5.951903808    9.173455153    9.173395618    9.173405891
    6.012024048   10.536561078   10.536508674   10.536511285
    6.072144289    9.961987080    9.961973160    9.961957811
