# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.838711590   17.838713118   17.838710695
    0.000000000   20.213016725   20.213016983   20.213017039
    0.030030030   20.214512148   20.214512405   20.214512462
    0.060060060   20.219000058   20.219000316   20.219000372
    0.090090090   20.226485389   20.226485646   20.226485703
    0.120120120   20.236976378   20.236976635   20.236976692
    0.150150150   20.250484593   20.250484851   20.250484907
    0.180180180   20.267024968   20.267025225   20.267025282
    0.210210210   20.286615846   20.286616104   20.286616161
    0.240240240   20.309279041   20.309279299   20.309279357
    0.270270270   20.335039899   20.335040158   20.335040216
    0.300300300   20.363927382   20.363927641   20.363927700
    0.330330330   20.395974157   20.395974416   20.395974475
    0.360360360   20.431216699   20.431216958   20.431217018
    0.390390390   20.469695409   20.469695669   20.469695728
    0.420420420   20.511454744   20.511455004   20.511455065
    0.450450450   20.556543365   20.556543626   20.556543687
    0.480480480   20.605014294   20.605014556   20.605014617
    0.510510511   20.656925098   20.656925360   20.656925422
    0.540540541   20.712338080   20.712338343   20.712338406
    0.570570571   20.771320501   20.771320764   20.771320828
    0.600600601   20.833944811   20.833945075   20.833945140
    0.630630631   20.900288915   20.900289180   20.900289246
    0.660660661   20.970436456   20.970436721   20.970436788
    0.690690691   21.044477126   21.044477392   21.044477460
    0.720720721   21.122507008   21.122507275   21.122507344
    0.750750751   21.204628952   21.204629220   21.204629290
    0.780780781   21.290952982   21.290953251   21.290953322
    0.810810811   21.381596745   21.381597015   21.381597088
    0.840840841   21.476686003   21.476686275   21.476686348
    0.870870871   21.576355171   21.576355443   21.576355518
    0.900900901   21.680747904   21.680748178   21.680748254
    0.930930931   21.790017753   21.790018027   21.790018106
    0.960960961   21.904328870   21.904329146   21.904329226
    0.990990991   22.023856798   22.023857076   22.023857157
    1.021021021   22.148789334   22.148789613   22.148789696
    1.051051051   22.279327481   22.279327761   22.279327846
    1.081081081   22.415686504   22.415686786   22.415686873
    1.111111111   22.558097096   22.558097380   22.558097469
    1.141141141   22.706806672   22.706806957   22.706807049
    1.171171171   22.862080802   22.862081089   22.862081182
    1.201201201   23.024204810   23.024205100   23.024205195
    1.231231231   23.193485559   23.193485850   23.193485949
    1.261261261   23.370253434   23.370253727   23.370253828
    1.291291291   23.554864572   23.554864868   23.554864971
    1.321321321   23.747703364   23.747703662   23.747703768
    1.351351351   23.949185262   23.949185563   23.949185672
    1.381381381   24.159759952   24.159760255   24.159760367
    1.411411411   24.379914935   24.379915241   24.379915357
    1.441441441   24.610179594   24.610179903   24.610180022
    1.471471471   24.851129813   24.851130125   24.851130247
    1.501501502   25.103393245   25.103393560   25.103393687
    1.531531532   25.367655348   25.367655666   25.367655796
    1.561561562   25.644666301   25.644666623   25.644666758
    1.591591592   25.935248990   25.935249315   25.935249454
    1.621621622   26.240308226   26.240308556   26.240308699
    1.651651652   26.560841465   26.560841799   26.560841948
    1.681681682   26.897951292   26.897951630   26.897951784
    1.711711712   27.252860049   27.252860392   27.252860552
    1.741741742   27.626927044   27.626927392   27.626927558
    1.771771772   28.021668884   28.021669237   28.021669410
    1.801801802   28.438783654   28.438784013   28.438784192
    1.831831832   28.880179787   28.880180152   28.880180339
    1.861861862   29.348010767   29.348011139   29.348011334
    1.891891892   29.844717080   29.844717459   29.844717663
    1.921921922   30.373077261   30.373077648   30.373077861
    1.951951952   30.936270430   30.936270826   30.936271049
    1.981981982   31.537953463   31.537953867   31.537954102
    2.012012012   32.182356934   32.182357349   32.182357595
    2.042042042   32.874405356   32.874405781   32.874406041
    2.072072072   33.619869094   33.619869531   33.619869806
    2.102102102   34.425557922   34.425558372   34.425558664
    2.132132132   35.299569652   35.299570117   35.299570427
    2.162162162   36.251611961   36.251612442   36.251612773
    2.192192192   37.293421512   37.293422011   37.293422366
    2.222222222   38.439311284   38.439311803   38.439312186
    2.252252252   39.706882302   39.706882843   39.706883259
    2.282282282   41.117931024   41.117931591   41.117932044
    2.312312312   42.699541240   42.699541835   42.699542334
    2.342342342   44.485184289   44.485184918   44.485185471
    2.372372372   46.515095564   46.515096232   46.515096848
    2.402402402   48.833388802   48.833389517   48.833390206
    2.432432432   51.473561559   51.473562331   51.473563099
    2.462462462   54.406357281   54.406358128   54.406358953
    2.492492492   57.384590626   57.384591588   57.384592365
    2.522522523   59.672640678   59.672641862   59.672642317
